Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,4.35,4.35,0,0,0,0
aclnnSWhere,,,5.28,5.28,1.98,1.98,0,0
Event::record,,,52.28,64.87,0,0.02,0,0
record_event,,,12.59,12.59,0.02,0.02,0,0
Event::wait,,,39.87,49.56,0,455.7,0,0
wait_event,,,9.69,9.69,455.7,455.7,0,0
aten::select,"2,2;
;
",,8.13,13.14,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.01,5.01,0,0,0,0
aten::reshape,"2,1;
",,3.92,10.21,0,0,0,0
aten::view,"2,1;
",,6.29,6.29,0,0,0,0
aten::copy_,"2;
2;
",,8.93,17.16,0,1.9,0,0
acl_memcpy_device_to_host,,,8.23,8.23,1.9,1.9,0,0
Event::record,,,51.06,60.62,0,0.02,0,0
record_event,,,9.56,9.56,0.02,0.02,0,0
destroy_event,,,6.6,6.6,0,0,0,0
Event::synchronize,,,56.06,56.06,0,0,0,0
aten::select,"2,2;
;
",,8.05,13.66,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.61,5.61,0,0,0,0
aten::resolve_conj,2,,1.06,1.06,0,0,0,0
aten::resolve_neg,2,,0.7,0.7,0,0,0,0
destroy_event,,,9.88,9.88,0,0,0,0
serving.decode_step,,,224.81,857.39,0,11.58,0,0
Event::record,,,95.65,107.44,0,0.02,0,0
record_event,,,11.79,11.79,0.02,0.02,0,0
cache_compiler inference,,,110.44,241.43,0,0,0,0
TorchNpuGraphBase::Run,,,23.7,130.99,0,0,0,0
AssembleInputs,,,10.98,10.98,0,0,0,0
AssembleOutputs,,,7.25,7.25,0,0,0,0
ExecuteGraph,,,60.26,60.26,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.59,28.8,0,0,0,0
aten::empty,";
;
;
;
;
",,7.37,15.23,0,0,0,0
empty_tensor,,,7.86,7.86,0,0,0,0
aten::set_,"0;
;
;
;
",,5.98,5.98,0,0,0,0
aten::reshape,"2,1;
",,4.19,9.94,0,0,0,0
aten::view,"2,1;
",,5.75,5.75,0,0,0,0
Event::record,,,101.49,116.16,0,0.02,0,0
record_event,,,14.67,14.67,0.02,0.02,0,0
aten::view,"2;
",,7.2,7.2,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,4.76,48.53,0,2.12,0,0
aten::empty_like,"2,1;
;
;
;
;
",,7.17,19.09,0,0,0,0
empty_tensor,,,11.92,11.92,0,0,0,0
aten::fill_,"2,1;
",,14.36,24.68,0,2.12,0,0
aclnnInplaceFillScalar,,,10.32,10.32,2.12,2.12,0,0
