Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,148,7.600,1785954086256847.225	,1785954086256854.825	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,149,1.120,1785954086256854.845	,1785954086256855.965	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,150,1.300,1785954086256855.985	,1785954086256857.285	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,151,2.200,1785954086256857.305	,1785954086256859.505	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,152,1.040,1785954086256859.525	,1785954086256860.565	
6,te_increflashattention_e293d7c94dc73842c746c0471ae25afd505f2afab9d3773baab3b48e3cf86ef7,MIX_AIC,6,153,19.380,1785954086256861.905	,1785954086256881.285	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,154,5.020,1785954086256882.525	,1785954086256887.545	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,155,1.660,1785954086256887.565	,1785954086256889.225	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,156,7.960,1785954086256889.265	,1785954086256897.225	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,157,5.360,1785954086256897.245	,1785954086256902.605	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,158,1.580,1785954086256902.625	,1785954086256904.205	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,159,8.580,1785954086256904.225	,1785954086256912.805	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,160,1.540,1785954086256912.825	,1785954086256914.365	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,161,7.600,1785954086256914.385	,1785954086256921.985	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,162,1.200,1785954086256922.005	,1785954086256923.205	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,163,1.120,1785954086256923.225	,1785954086256924.345	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,164,2.300,1785954086256924.365	,1785954086256926.665	
