Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
record_event,,,11.44,11.44,0.02,0.02,0,0
cache_compiler inference,,,109.64,240.51,0,0,0,0
TorchNpuGraphBase::Run,,,24.06,130.87,0,0,0,0
AssembleInputs,,,10.85,10.85,0,0,0,0
AssembleOutputs,,,7.2,7.2,0,0,0,0
ExecuteGraph,,,59.84,59.84,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.89,28.92,0,0,0,0
aten::empty,";
;
;
;
;
",,6.54,14.6,0,0,0,0
empty_tensor,,,8.06,8.06,0,0,0,0
aten::set_,"0;
;
;
;
",,6.43,6.43,0,0,0,0
aten::reshape,"2,1;
",,4.72,10.7,0,0,0,0
aten::view,"2,1;
",,5.98,5.98,0,0,0,0
Event::record,,,102.53,116.63,0,0.02,0,0
record_event,,,14.1,14.1,0.02,0.02,0,0
aten::view,"2;
",,7.34,7.34,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.12,46.88,0,1.98,0,0
aten::empty_like,"2,1;
;
;
;
;
",,7.23,18.24,0,0,0,0
empty_tensor,,,11.01,11.01,0,0,0,0
aten::fill_,"2,1;
",,14.27,23.52,0,1.98,0,0
aclnnInplaceFillScalar,,,9.25,9.25,1.98,1.98,0,0
aten::where,"2,1;
2,1;
2,1",,13.65,27.19,0,2.74,0,0
empty_tensor,,,6.58,6.58,0,0,0,0
aclnnSWhere,,,6.96,6.96,2.74,2.74,0,0
aten::add,"2;
;
",,14.28,27.93,0,2.9,0,0
empty_tensor,,,4.44,4.44,0,0,0,0
aten::item,,,2.1,3.62,0,0,0,0
aten::_local_scalar_dense,,,1.52,1.52,0,0,0,0
aclnnAdds,,,5.59,5.59,2.9,2.9,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.07,29.35,0,1.74,0,0
aten::empty_like,"2;
;
;
;
;
",,5.32,10.34,0,0,0,0
empty_tensor,,,5.02,5.02,0,0,0,0
aten::zero_,2,,7.04,13.94,0,1.74,0,0
aclnnInplaceZero,,,6.9,6.9,1.74,1.74,0,0
aten::where,"2;
2;
2",,9.98,21.39,0,1.94,0,0
empty_tensor,,,5.44,5.44,0,0,0,0
aclnnSWhere,,,5.97,5.97,1.94,1.94,0,0
Event::record,,,55.04,67.85,0,0.02,0,0
record_event,,,12.81,12.81,0.02,0.02,0,0
Event::wait,,,40.97,51.06,0,429.76,0,0
wait_event,,,10.09,10.09,429.76,429.76,0,0
aten::select,"2,2;
;
",,8.8,14.23,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.43,5.43,0,0,0,0
aten::reshape,"2,1;
",,3.83,10.32,0,0,0,0
aten::view,"2,1;
",,6.49,6.49,0,0,0,0
aten::copy_,"2;
2;
",,9.26,16.74,0,1.9,0,0
acl_memcpy_device_to_host,,,7.48,7.48,1.9,1.9,0,0
Event::record,,,50.83,60.46,0,0.0,0,0
record_event,,,9.63,9.63,0.0,0.0,0,0
destroy_event,,,5.61,5.61,0,0,0,0
Event::synchronize,,,56.28,56.28,0,0,0,0
