Selected physical NPU 5 as logical npu:0
Python: /usr/local/python3.12.13/bin/python3
Waiting for NPU worker pid=2485524
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000227_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000252_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000251_table_box_id_7 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000212_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000254_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000223_table_box_id_2 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000207_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000178_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000231_table_box_id_2 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000242_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000230_table_box_id_7 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000234_table_box_id_5 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000237_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000199_table_box_id_0 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000249_table_box-gjm9bkso HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000250_table_box-stnne6dt HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000203_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000250_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000233_table_box_id_2 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000255_table_box_id_2 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000216_table_box_id_0 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/drain HTTP/1.1" 200 -
