role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube Wait,3,88.2534408569336,88.2534408569336,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube Wait,3,43486.0,43486.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube All Active,3,60.6727409362793,60.6727409362793,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube FP,3,60.6727409362793,60.6727409362793,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube Wait,3,86.70770263671875,86.70770263671875,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube Wait,3,44801.0,44801.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube All Active,3,62.57535171508789,62.57535171508789,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube FP,3,62.57535171508789,62.57535171508789,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube Wait,3,85.01936340332031,85.01936340332031,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube Wait,3,42593.0,42593.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube All Active,3,62.33769226074219,62.33769226074219,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube FP,3,62.33769226074219,62.33769226074219,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube Wait,3,87.95561981201172,87.95561981201172,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube Wait,3,44232.0,44232.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube All Active,3,61.9304313659668,61.9304313659668,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,4,,cube,subblock_detail_origin,Cube All Active,3,31369.0,31369.0,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,4,,cube,subblock_detail,Cube FP,3,61.9304313659668,61.9304313659668,false,"{""block_id"": ""4"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
