Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,8.55,8.55,0,0,0,0
aten::set_,"0;
;
;
;
",,7.5,7.5,0,0,0,0
aten::reshape,"2,1;
",,4.86,11.38,0,0,0,0
aten::view,"2,1;
",,6.52,6.52,0,0,0,0
Event::record,,,105.44,137.93,0,0.02,0,0
record_event,,,32.49,32.49,0.02,0.02,0,0
aten::view,"2;
",,8.02,8.02,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.63,46.95,0,1.94,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.88,18.14,0,0,0,0
empty_tensor,,,11.26,11.26,0,0,0,0
aten::fill_,"2,1;
",,13.96,23.18,0,1.94,0,0
aclnnInplaceFillScalar,,,9.22,9.22,1.94,1.94,0,0
aten::where,"2,1;
2,1;
2,1",,14.44,29.54,0,2.58,0,0
empty_tensor,,,7.93,7.93,0,0,0,0
aclnnSWhere,,,7.17,7.17,2.58,2.58,0,0
aten::add,"2;
;
",,14.62,30.72,0,2.76,0,0
empty_tensor,,,5.33,5.33,0,0,0,0
aten::item,,,2.09,4.07,0,0,0,0
aten::_local_scalar_dense,,,1.98,1.98,0,0,0,0
aclnnAdds,,,6.7,6.7,2.76,2.76,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.64,29.21,0,1.96,0,0
aten::empty_like,"2;
;
;
;
;
",,5.57,11.15,0,0,0,0
empty_tensor,,,5.58,5.58,0,0,0,0
aten::zero_,2,,6.91,13.42,0,1.96,0,0
aclnnInplaceZero,,,6.51,6.51,1.96,1.96,0,0
aten::where,"2;
2;
2",,9.46,19.68,0,1.86,0,0
empty_tensor,,,5.31,5.31,0,0,0,0
aclnnSWhere,,,4.91,4.91,1.86,1.86,0,0
Event::record,,,52.56,64.91,0,0.02,0,0
record_event,,,12.35,12.35,0.02,0.02,0,0
Event::wait,,,38.82,51.14,0,363.58,0,0
wait_event,,,12.32,12.32,363.58,363.58,0,0
aten::select,"2,2;
;
",,8.77,13.45,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.68,4.68,0,0,0,0
aten::reshape,"2,1;
",,3.41,10.35,0,0,0,0
aten::view,"2,1;
",,6.94,6.94,0,0,0,0
aten::copy_,"2;
2;
",,9.16,16.48,0,1.9,0,0
acl_memcpy_device_to_host,,,7.32,7.32,1.9,1.9,0,0
Event::record,,,48.89,58.34,0,0.02,0,0
record_event,,,9.45,9.45,0.02,0.02,0,0
destroy_event,,,6.5,6.5,0,0,0,0
Event::synchronize,,,42.52,42.52,0,0,0,0
aten::select,"2,2;
;
",,7.34,12.14,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.8,4.8,0,0,0,0
aten::resolve_conj,2,,1.27,1.27,0,0,0,0
aten::resolve_neg,2,,0.77,0.77,0,0,0,0
destroy_event,,,8.94,8.94,0,0,0,0
serving.decode_step,,,226.99,1073.4,0,10.84,0,0
Event::record,,,95.84,107.08,0,0.0,0,0
record_event,,,11.24,11.24,0.0,0.0,0,0
cache_compiler inference,,,116.59,453.72,0,0,0,0
TorchDynamo Cache Lookup,,,115.06,115.06,0,0,0,0
Torch-Compiled Region: 0/0,,,91.64,222.07,0,0,0,0
TorchNpuGraphBase::Run,,,29.49,130.43,0,0,0,0
AssembleInputs,,,10.79,10.79,0,0,0,0
AssembleOutputs,,,7.21,7.21,0,0,0,0
ExecuteGraph,,,53.33,53.33,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.54,29.61,0,0,0,0
aten::empty,";
;
;
;
;
",,6.71,15.5,0,0,0,0
empty_tensor,,,8.79,8.79,0,0,0,0
aten::set_,"0;
;
;
;
",,6.57,6.57,0,0,0,0
aten::reshape,"2,1;
",,4.96,11.73,0,0,0,0
aten::view,"2,1;
",,6.77,6.77,0,0,0,0
Event::record,,,104.03,118.32,0,0.02,0,0
record_event,,,14.29,14.29,0.02,0.02,0,0
aten::view,"2;
",,7.62,7.62,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.0,45.09,0,1.8,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.49,17.5,0,0,0,0
empty_tensor,,,11.01,11.01,0,0,0,0
aten::fill_,"2,1;
",,13.93,22.59,0,1.8,0,0
aclnnInplaceFillScalar,,,8.66,8.66,1.8,1.8,0,0
aten::where,"2,1;
2,1;
2,1",,13.57,26.14,0,2.62,0,0
empty_tensor,,,5.97,5.97,0,0,0,0
aclnnSWhere,,,6.6,6.6,2.62,2.62,0,0
aten::add,"2;
;
",,14.86,29.0,0,2.86,0,0
empty_tensor,,,4.73,4.73,0,0,0,0
aten::item,,,2.08,3.68,0,0,0,0
aten::_local_scalar_dense,,,1.6,1.6,0,0,0,0
aclnnAdds,,,5.73,5.73,2.86,2.86,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.6,28.5,0,1.68,0,0
aten::empty_like,"2;
;
;
;
;
",,5.13,10.56,0,0,0,0
empty_tensor,,,5.43,5.43,0,0,0,0
aten::zero_,2,,6.65,12.34,0,1.68,0,0
aclnnInplaceZero,,,5.69,5.69,1.68,1.68,0,0
aten::where,"2;
2;
2",,9.58,19.21,0,1.86,0,0
empty_tensor,,,4.58,4.58,0,0,0,0
aclnnSWhere,,,5.05,5.05,1.86,1.86,0,0
Event::record,,,51.67,63.38,0,0.02,0,0
record_event,,,11.71,11.71,0.02,0.02,0,0
Event::wait,,,40.5,49.69,0,411.42,0,0
wait_event,,,9.19,9.19,411.42,411.42,0,0
aten::select,"2,2;
;
",,8.48,13.28,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.8,4.8,0,0,0,0
aten::reshape,"2,1;
",,3.46,10.39,0,0,0,0
aten::view,"2,1;
",,6.93,6.93,0,0,0,0
aten::copy_,"2;
2;
",,9.25,16.46,0,1.84,0,0
acl_memcpy_device_to_host,,,7.21,7.21,1.84,1.84,0,0
Event::record,,,49.53,58.0,0,0.02,0,0
record_event,,,8.47,8.47,0.02,0.02,0,0
destroy_event,,,5.66,5.66,0,0,0,0
Event::synchronize,,,56.24,56.24,0,0,0,0
aten::select,"2,2;
;
",,8.28,12.73,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.45,4.45,0,0,0,0
aten::resolve_conj,2,,1.4,1.4,0,0,0,0
aten::resolve_neg,2,,0.78,0.78,0,0,0,0
destroy_event,,,9.0,9.0,0,0,0,0
serving.decode_step,,,229.91,1086.33,0,10.98,0,0
Event::record,,,96.51,106.64,0,0.02,0,0
record_event,,,10.13,10.13,0.02,0.02,0,0
cache_compiler inference,,,116.11,449.26,0,0,0,0
TorchDynamo Cache Lookup,,,113.72,113.72,0,0,0,0
Torch-Compiled Region: 0/0,,,92.95,219.43,0,0,0,0
TorchNpuGraphBase::Run,,,24.97,126.48,0,0,0,0
AssembleInputs,,,10.95,10.95,0,0,0,0
AssembleOutputs,,,7.31,7.31,0,0,0,0
ExecuteGraph,,,52.5,52.5,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.98,30.75,0,0,0,0
aten::empty,";
;
;
;
;
",,7.37,15.94,0,0,0,0
empty_tensor,,,8.57,8.57,0,0,0,0
aten::set_,"0;
;
;
;
",,6.83,6.83,0,0,0,0
aten::reshape,"2,1;
",,5.05,11.58,0,0,0,0
aten::view,"2,1;
",,6.53,6.53,0,0,0,0
Event::record,,,102.17,115.86,0,0.02,0,0
record_event,,,13.69,13.69,0.02,0.02,0,0
aten::view,"2;
",,7.51,7.51,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.46,46.38,0,1.9,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.66,17.54,0,0,0,0
empty_tensor,,,10.88,10.88,0,0,0,0
aten::fill_,"2,1;
",,13.63,23.38,0,1.9,0,0
aclnnInplaceFillScalar,,,9.75,9.75,1.9,1.9,0,0
aten::where,"2,1;
2,1;
2,1",,14.7,39.51,0,2.64,0,0
empty_tensor,,,17.38,17.38,0,0,0,0
aclnnSWhere,,,7.43,7.43,2.64,2.64,0,0
aten::add,"2;
;
",,14.81,30.66,0,2.8,0,0
empty_tensor,,,5.13,5.13,0,0,0,0
aten::item,,,2.07,3.8,0,0,0,0
aten::_local_scalar_dense,,,1.73,1.73,0,0,0,0
aclnnAdds,,,6.92,6.92,2.8,2.8,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.74,28.52,0,1.64,0,0
aten::empty_like,"2;
;
;
;
;
",,5.48,10.87,0,0,0,0
empty_tensor,,,5.39,5.39,0,0,0,0
aten::zero_,2,,6.84,12.91,0,1.64,0,0
aclnnInplaceZero,,,6.07,6.07,1.64,1.64,0,0
aten::where,"2;
2;
2",,9.99,20.5,0,1.96,0,0
empty_tensor,,,4.67,4.67,0,0,0,0
aclnnSWhere,,,5.84,5.84,1.96,1.96,0,0
Event::record,,,51.63,63.74,0,0.0,0,0
record_event,,,12.11,12.11,0.0,0.0,0,0
Event::wait,,,38.85,48.03,0,389.96,0,0
wait_event,,,9.18,9.18,389.96,389.96,0,0
aten::select,"2,2;
;
",,8.39,13.68,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.29,5.29,0,0,0,0
aten::reshape,"2,1;
",,3.33,9.88,0,0,0,0
aten::view,"2,1;
",,6.55,6.55,0,0,0,0
aten::copy_,"2;
2;
",,10.97,17.97,0,1.9,0,0
acl_memcpy_device_to_host,,,7.0,7.0,1.9,1.9,0,0
Event::record,,,49.12,57.69,0,0.02,0,0
record_event,,,8.57,8.57,0.02,0.02,0,0
destroy_event,,,5.94,5.94,0,0,0,0
