role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,20,,cube,block_detail,duration_us,us,28.583889,28.583889,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,21,,cube,block_detail,duration_us,us,28.567223,28.567223,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,22,,cube,block_detail,duration_us,us,28.094444,28.094444,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,23,,cube,block_detail,duration_us,us,27.668888,27.668888,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube All Active,3,63.1966667175293,63.1966667175293,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube All Active,3,31228.0,31228.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube FP,3,63.1966667175293,63.1966667175293,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube FP,3,31228.0,31228.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube Wait,3,87.64115905761719,87.64115905761719,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube Wait,3,43307.0,43307.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube All Active,3,61.300350189208984,61.300350189208984,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube FP,3,61.300350189208984,61.300350189208984,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube Wait,3,86.94173431396484,86.94173431396484,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube Wait,3,44462.0,44462.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube All Active,3,61.492740631103516,61.492740631103516,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube FP,3,61.492740631103516,61.492740631103516,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail,Cube Wait,3,84.2840347290039,84.2840347290039,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,2,,cube,subblock_detail_origin,Cube Wait,3,42968.0,42968.0,false,"{""block_id"": ""2"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube All Active,3,63.25846862792969,63.25846862792969,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x06,1,3,,cube,subblock_detail,Cube FP,3,63.25846862792969,63.25846862792969,false,"{""block_id"": ""3"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
