Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,128,7.460,1785953640529835.695	,1785953640529843.155	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,129,1.100,1785953640529843.175	,1785953640529844.275	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,130,1.200,1785953640529844.315	,1785953640529845.515	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,131,3.320,1785953640529845.555	,1785953640529848.875	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,132,1.000,1785953640529848.895	,1785953640529849.895	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,133,21.060,1785953640529850.895	,1785953640529871.955	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,134,4.400,1785953640529872.715	,1785953640529877.115	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,135,1.520,1785953640529877.135	,1785953640529878.655	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,136,8.660,1785953640529878.675	,1785953640529887.335	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,137,7.060,1785953640529887.355	,1785953640529894.415	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,138,1.700,1785953640529894.435	,1785953640529896.135	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,139,8.460,1785953640529896.155	,1785953640529904.615	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,140,1.480,1785953640529904.635	,1785953640529906.115	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,141,7.460,1785953640529906.155	,1785953640529913.615	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,142,1.120,1785953640529913.655	,1785953640529914.775	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,143,1.300,1785953640529914.795	,1785953640529916.095	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,144,2.240,1785953640529916.115	,1785953640529918.355	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,145,1.000,1785953640529918.375	,1785953640529919.375	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,146,20.520,1785953640529920.355	,1785953640529940.875	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,147,4.540,1785953640529941.575	,1785953640529946.115	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,148,1.880,1785953640529946.135	,1785953640529948.015	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,149,8.440,1785953640529948.055	,1785953640529956.495	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,150,5.320,1785953640529956.515	,1785953640529961.835	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,151,1.660,1785953640529961.875	,1785953640529963.535	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,152,7.980,1785953640529963.555	,1785953640529971.535	
